year,totalhuman,co2,ch4,n2o
1765,0,0,0,0
1766,0.016318812,0.011049082,0.00357577,0.0007386612
1767,0.033547871,0.023246047,0.007360738,0.0015163651
1768,0.03516955,0.025605215,0.0077731272,0.0015938079
1769,0.036621026,0.028057033,0.0081723731,0.0016700562
1770,0.038122043,0.03055287,0.0085577857,0.0017452284
1771,0.039303678,0.033093627,0.008932072,0.0018193127
1772,0.040576622,0.035705793,0.0092985859,0.0018922835
1773,0.042338505,0.038397133,0.0096580629,0.0019642574
1774,0.044211576,0.041160901,0.010009802,0.0020354403
1775,0.046207954,0.044009648,0.010353103,0.0021059778
1776,0.04836247,0.046979223,0.010687266,0.0021758477
1777,0.050671443,0.050067292,0.011011591,0.0022449851
1778,0.053062222,0.053202569,0.011325381,0.0023135031
1779,0.055435443,0.05628708,0.011627938,0.0023816295
1780,0.057700993,0.059234532,0.011917108,0.0024495291
1781,0.059382599,0.06201229,0.012188879,0.002517176
1782,0.060955722,0.064664134,0.012441892,0.0025844863
1783,0.062944224,0.067271913,0.012679821,0.002651563
1784,0.065007475,0.069921132,0.01290832,0.0027186355
1785,0.067235093,0.072693308,0.013133038,0.0027858871
1786,0.069678227,0.075631696,0.013359615,0.0028533161
1787,0.072311665,0.078703283,0.013593686,0.0029208283
1788,0.07505713,0.081821836,0.013840881,0.0029884956
1789,0.077825245,0.084889902,0.01410682,0.00305652
1790,0.080551774,0.087836927,0.014396016,0.0031250695
1791,0.082788937,0.090660982,0.014709547,0.0031941524
1792,0.085015058,0.09339792,0.015045435,0.0032636832
1793,0.087685339,0.096060423,0.015401464,0.0033337284
1794,0.09034361,0.098642066,0.015775909,0.0034044868
1795,0.092984454,0.1011408,0.016167048,0.0034761277
1796,0.095610854,0.10356312,0.016573161,0.0035486751
1797,0.09777923,0.10591503,0.016992531,0.0036220603
1798,0.099929438,0.10819345,0.017423441,0.0036963482
1799,0.10249673,0.11039084,0.017864181,0.0037717255
1800,0.10458936,0.11250486,0.018316097,0.0038483613
1801,0.10667018,0.11454316,0.018786166,0.0039263122
1802,0.10831278,0.11651278,0.019280163,0.0040055436
1803,0.11039539,0.1184099,0.01979679,0.0040861033
1804,0.11334439,0.12022542,0.020331467,0.0041681213
1805,0.11583097,0.1219681,0.020879622,0.0042517223
1806,0.11788262,0.1236704,0.021436693,0.0043369745
1807,0.11993518,0.12533497,0.021998131,0.0044238931
1808,0.12236436,0.12690511,0.0225594,0.0045125259
1809,0.12464114,0.12830042,0.023115974,0.0046029563
1810,0.12670368,0.12946317,0.02366562,0.0046952698
1811,0.1281316,0.1304044,0.024211326,0.0047895395
1812,0.12943757,0.13119381,0.024757736,0.0048858199
1813,0.13112989,0.13190268,0.025306263,0.004984169
1814,0.13283102,0.13259134,0.025856373,0.0050846531
1815,0.1341638,0.13331508,0.026407535,0.0051873419
1816,0.13515444,0.13409903,0.026959216,0.0052923292
1817,0.13620993,0.13491805,0.02751089,0.0053997139
1818,0.13770056,0.13571684,0.028062026,0.005509545
1819,0.13956212,0.13643515,0.0286121,0.0056218274
1820,0.14132005,0.13702906,0.029160764,0.0057365707
1821,0.14297777,0.13750239,0.029708139,0.0058538447
1822,0.14415504,0.13789659,0.03025464,0.0059737703
1823,0.14489353,0.13825059,0.03080056,0.0060964274
1824,0.14606649,0.13859452,0.031346071,0.0062218358
1825,0.14727597,0.13895098,0.031891344,0.0063500071
1826,0.14852136,0.13932247,0.032436553,0.0064810295
1827,0.14979547,0.13969896,0.032981868,0.0066150545
1828,0.15109002,0.14007543,0.033527461,0.0067521517
1829,0.15281897,0.14045187,0.034073501,0.0068923066
1830,0.15210916,0.14082828,0.03461898,0.0070354912
1831,0.15116837,0.14054596,0.035160992,0.0071817663
1832,0.15100437,0.1385692,0.035697793,0.0073312986
1833,0.14909562,0.1356501,0.036230918,0.0074841899
1834,0.14729543,0.13282363,0.036763305,0.0076404359
1835,0.14551703,0.12999566,0.037297888,0.0078000136
1836,0.14216652,0.1271662,0.037837589,0.0079630057
1837,0.13924995,0.12433524,0.038385326,0.008129601
1838,0.13851328,0.12244727,0.038944009,0.0082998959
1839,0.13883572,0.12197515,0.039516539,0.00847385
1840,0.13928818,0.12197515,0.040107512,0.0086520599
1841,0.14028413,0.12244727,0.040723197,0.0088458879
1842,0.14231716,0.12386337,0.041365551,0.0090704751
1843,0.14488968,0.12575101,0.042029695,0.0093126513
1844,0.14795179,0.12810952,0.042708201,0.0095310316
1845,0.15076993,0.13140969,0.043393668,0.0096789698
1846,0.15428176,0.13470811,0.044078717,0.0097402609
1847,0.15766331,0.13753359,0.044755991,0.009750133
1848,0.1611151,0.14082795,0.045418158,0.0097484095
1849,0.1645557,0.14412058,0.046057905,0.0097467883
1850,0.16657464,0.14694109,0.046665367,0.0098312359
1851,0.17057924,0.14976013,0.047382693,0.010086972
1852,0.16829106,0.15210829,0.048228722,0.010428179
1853,0.16501087,0.15445521,0.049073923,0.010769323
1854,0.16649638,0.15727029,0.049918297,0.011110404
1855,0.16791993,0.16008389,0.050621369,0.011451422
1856,0.17031765,0.162896,0.051323757,0.011792377
1857,0.17239154,0.16570665,0.052165939,0.01213327
1858,0.17630173,0.16898372,0.053007304,0.0124741
1859,0.17892086,0.17225908,0.053847854,0.012814868
1860,0.17462193,0.17506481,0.05468759,0.013155572
1861,0.16592148,0.17786907,0.055526516,0.013496215
1862,0.17215539,0.18020493,0.056364634,0.013836794
1863,0.18223288,0.18253957,0.057201946,0.014177311
1864,0.18435681,0.18533992,0.058038453,0.014517766
1865,0.18467733,0.18767253,0.059013289,0.014858158
1866,0.18020371,0.1895378,0.059987192,0.015198487
1867,0.17512323,0.19140242,0.060821037,0.015538754
1868,0.17626413,0.19373219,0.061654089,0.015878959
1869,0.18232298,0.19652669,0.062486348,0.016219102
1870,0.18700396,0.19931973,0.063456243,0.016474173
1871,0.18212782,0.2025763,0.06442522,0.016644198
1872,0.16392822,0.20629582,0.065254856,0.0168992
1873,0.14990102,0.21047702,0.06608371,0.017239155
1874,0.15249886,0.21558294,0.066911783,0.017579049
1875,0.15924699,0.22114773,0.067876811,0.017833934
1876,0.16710546,0.22716948,0.068840934,0.018003834
1877,0.17965835,0.23410923,0.069666423,0.018258649
1878,0.19053248,0.24150205,0.070491141,0.018598356
1879,0.19585594,0.24934541,0.07131509,0.018938001
1880,0.1937272,0.25809794,0.072275322,0.019277584
1881,0.19571685,0.26729609,0.073371541,0.019617105
1882,0.20764228,0.27602009,0.074466406,0.019956564
1883,0.21710044,0.28427149,0.075559923,0.020295961
1884,0.2249431,0.29251018,0.076515721,0.020635296
1885,0.23566528,0.29982345,0.077334097,0.02097457
1886,0.24440116,0.30575788,0.078287847,0.021313781
1887,0.24843665,0.31077419,0.079376682,0.021568155
1888,0.24494393,0.31487495,0.08046419,0.021737714
1889,0.24603871,0.31851727,0.081550376,0.021992019
1890,0.24842658,0.32170241,0.082635245,0.022331045
1891,0.24600666,0.32443091,0.083854061,0.022670009
1892,0.24573889,0.32715801,0.085206464,0.023008912
1893,0.24612343,0.32942964,0.086421978,0.023263055
1894,0.24555958,0.33124617,0.087500976,0.02343246
1895,0.24343987,0.33306208,0.088713214,0.02360185
1896,0.24397357,0.33487737,0.090058337,0.023771224
1897,0.24709122,0.33714553,0.091267325,0.024025251
1898,0.25077282,0.34077243,0.092474518,0.024279255
1899,0.25418154,0.34575562,0.093814058,0.024448568
1900,0.25791651,0.35118677,0.095285159,0.024702503
1901,0.25973949,0.35706406,0.097153892,0.025041036
1902,0.26166118,0.36338651,0.099285208,0.025379508
1903,0.26349998,0.36970149,0.10154412,0.025717919
1904,0.26587735,0.37645901,0.10393001,0.026056268
1905,0.27030438,0.38410722,0.1063097,0.026394556
1906,0.27307219,0.39219378,0.10868323,0.026732783
1907,0.27553747,0.3998202,0.11105066,0.027155471
1908,0.28523707,0.4069878,0.11354286,0.027662581
1909,0.29769283,0.41414581,0.11615918,0.028169554
1910,0.30438406,0.42129426,0.11863804,0.028676389
1911,0.31434485,0.42798755,0.12098018,0.029183087
1912,0.32784531,0.43422682,0.1234459,0.029774048
1913,0.33847319,0.44045882,0.12616363,0.030364848
1914,0.3514688,0.44623943,0.12900253,0.030871089
1915,0.36578181,0.45156962,0.13183288,0.031461517
1916,0.3740792,0.45733777,0.13465476,0.032136078
1917,0.38058034,0.46354294,0.13746822,0.032894653
1918,0.38910164,0.46929869,0.14040048,0.033737172
1919,0.40323186,0.47460598,0.14345081,0.034495133
